epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.121,1.16928,3.30498,1.59499,0.03726,0.78219,0.23576,0.12585,1.50303,3.74925,1.76698,0.000298478,0.000298478,0.000298478
2,487.352,1.18781,2.35734,1.61049,0.29904,0.49893,0.26321,0.1464,1.54838,2.94328,2.06785,0.000595523,0.000595523,0.000595523
3,731.889,1.16133,1.89923,1.59048,0.1976,0.30239,0.15666,0.07497,1.95626,3.11669,2.21641,0.000886569,0.000886569,0.000886569
4,974.854,1.12659,1.7907,1.54571,0.31752,0.44353,0.32483,0.16405,1.77664,2.57464,2.3016,0.000882003,0.000882003,0.000882003
5,1217.81,1.08481,1.62551,1.50693,0.3719,0.3915,0.27093,0.14964,1.59949,2.61511,1.99836,0.000873004,0.000873004,0.000873004
6,1460.79,1.03703,1.52139,1.48131,0.51647,0.51462,0.47848,0.28157,1.57097,2.18909,2.00209,0.000864004,0.000864004,0.000864004
7,1703.29,0.98173,1.39849,1.42734,0.48605,0.42045,0.41056,0.23876,1.59579,2.35401,1.92555,0.000855005,0.000855005,0.000855005
8,1945.44,0.95473,1.28617,1.397,0.54761,0.42738,0.42586,0.23892,1.56755,2.2704,1.95942,0.000846006,0.000846006,0.000846006
9,2189.51,0.88859,1.18908,1.35297,0.48437,0.49769,0.47525,0.27465,1.55005,2.12817,1.90308,0.000837007,0.000837007,0.000837007
10,2432.6,0.89425,1.18937,1.35204,0.4763,0.48032,0.45056,0.25936,1.51322,2.18667,1.90666,0.000828008,0.000828008,0.000828008
11,2675.3,0.85728,1.09137,1.31741,0.52605,0.51557,0.47934,0.28114,1.37316,2.14177,1.79295,0.000819009,0.000819009,0.000819009
12,2917.51,0.83668,1.05559,1.29606,0.45551,0.44993,0.47307,0.31992,1.32896,2.10479,1.754,0.00081001,0.00081001,0.00081001
13,3159.79,0.79741,0.99928,1.28464,0.55083,0.5561,0.51543,0.3603,1.29395,1.96108,1.68062,0.000801011,0.000801011,0.000801011
14,3401.84,0.77342,0.9477,1.255,0.64676,0.38063,0.45094,0.30867,1.31513,2.09534,1.72758,0.000792012,0.000792012,0.000792012
15,3643.95,0.76195,0.92812,1.24616,0.44655,0.43846,0.42122,0.29675,1.3782,2.26637,1.77483,0.000783013,0.000783013,0.000783013
16,3886,0.75946,0.92087,1.23606,0.60603,0.51733,0.51245,0.31036,1.41652,1.7936,1.85622,0.000774013,0.000774013,0.000774013
17,4128.31,0.7237,0.85198,1.21615,0.54419,0.44902,0.5065,0.29725,1.46974,2.30929,1.84725,0.000765014,0.000765014,0.000765014
18,4370.68,0.71098,0.84602,1.20523,0.74665,0.46736,0.57895,0.38549,1.23897,1.7883,1.68918,0.000756015,0.000756015,0.000756015
19,4613.38,0.68476,0.802,1.18542,0.73192,0.49494,0.60046,0.4052,1.30149,1.693,1.75146,0.000747016,0.000747016,0.000747016
20,4854.87,0.66107,0.77508,1.17439,0.81452,0.47968,0.60382,0.44063,1.14614,1.70546,1.59878,0.000738017,0.000738017,0.000738017
21,5097.67,0.67612,0.76433,1.16861,0.73468,0.48676,0.64224,0.45783,1.09145,1.78972,1.50543,0.000729018,0.000729018,0.000729018
22,5339.03,0.66431,0.7524,1.1731,0.71979,0.60743,0.71646,0.53116,0.99459,1.39253,1.40838,0.000720019,0.000720019,0.000720019
23,5581,0.6382,0.73303,1.16352,0.69077,0.61645,0.63533,0.42344,1.20956,1.66851,1.62241,0.00071102,0.00071102,0.00071102
24,5822.75,0.63288,0.69635,1.14324,0.62041,0.54357,0.56427,0.39423,1.20706,1.72145,1.61642,0.000702021,0.000702021,0.000702021
25,6064.97,0.61296,0.67141,1.12678,0.8224,0.55258,0.6627,0.52289,0.97249,1.45627,1.39932,0.000693022,0.000693022,0.000693022
26,6307.01,0.62105,0.69138,1.1395,0.7074,0.52433,0.61876,0.47889,0.97982,1.53534,1.46044,0.000684022,0.000684022,0.000684022
27,6548.86,0.59942,0.66796,1.12744,0.69217,0.59301,0.63557,0.45957,1.07543,1.59766,1.51019,0.000675023,0.000675023,0.000675023
28,6790.75,0.60024,0.67188,1.11291,0.77411,0.54721,0.65721,0.46257,1.11556,1.45214,1.58393,0.000666024,0.000666024,0.000666024
29,7032.97,0.5971,0.65373,1.11689,0.69046,0.60176,0.67443,0.4872,1.04841,1.43258,1.518,0.000657025,0.000657025,0.000657025
30,7274.57,0.58241,0.62393,1.1046,0.7474,0.52199,0.6385,0.42421,1.06444,1.74551,1.48691,0.000648026,0.000648026,0.000648026
31,7517.29,0.58512,0.64362,1.10892,0.64283,0.5975,0.65453,0.4486,1.06364,1.62799,1.44978,0.000639027,0.000639027,0.000639027
32,7759.3,0.5693,0.62263,1.09886,0.72876,0.6181,0.68374,0.51974,0.99979,1.40292,1.3912,0.000630028,0.000630028,0.000630028
33,8001.86,0.56047,0.59543,1.0877,0.80417,0.58048,0.69835,0.53855,0.92494,1.37232,1.35722,0.000621029,0.000621029,0.000621029
34,8244.15,0.54839,0.59642,1.08374,0.817,0.65545,0.76432,0.58525,0.8823,1.1675,1.2899,0.00061203,0.00061203,0.00061203
35,8488.98,0.54297,0.58026,1.08258,0.80432,0.66699,0.76823,0.5991,0.88006,1.14961,1.28646,0.000603031,0.000603031,0.000603031
36,8733.11,0.53911,0.56426,1.07104,0.73726,0.66607,0.7421,0.55985,0.94599,1.39996,1.30568,0.000594031,0.000594031,0.000594031
37,8977.17,0.54939,0.56247,1.07852,0.80831,0.72255,0.82919,0.62383,0.90941,1.10214,1.31482,0.000585032,0.000585032,0.000585032
38,9221.15,0.53494,0.56161,1.0763,0.82864,0.67947,0.79906,0.61308,0.85928,1.05128,1.25269,0.000576033,0.000576033,0.000576033
39,9465.68,0.51417,0.53574,1.05378,0.89815,0.67484,0.82108,0.65836,0.83952,0.97783,1.23916,0.000567034,0.000567034,0.000567034
40,9709.81,0.51395,0.53638,1.05969,0.78791,0.65125,0.75385,0.59592,0.85782,1.11473,1.25119,0.000558035,0.000558035,0.000558035
41,9954.2,0.5114,0.52055,1.05294,0.82486,0.73895,0.83979,0.66155,0.79596,0.91266,1.2338,0.000549036,0.000549036,0.000549036
42,10198.1,0.48866,0.50061,1.04947,0.78358,0.69395,0.78908,0.62181,0.82249,1.0071,1.19511,0.000540037,0.000540037,0.000540037
43,10442.8,0.50442,0.5152,1.05726,0.80823,0.76111,0.8399,0.65958,0.78826,0.9585,1.15144,0.000531038,0.000531038,0.000531038
44,10687.1,0.49595,0.51541,1.05524,0.85976,0.7567,0.87502,0.67293,0.87753,0.81065,1.27505,0.000522039,0.000522039,0.000522039
45,10931.4,0.48736,0.50192,1.04262,0.93927,0.77133,0.89196,0.73615,0.73287,0.77601,1.13405,0.00051304,0.00051304,0.00051304
46,11175.3,0.48294,0.49886,1.0347,0.78159,0.75576,0.83637,0.67596,0.82285,0.95133,1.17512,0.00050404,0.00050404,0.00050404
47,11420.4,0.45406,0.47626,1.01954,0.83626,0.81847,0.89586,0.71493,0.81285,0.78077,1.19118,0.000495041,0.000495041,0.000495041
48,11664.1,0.47017,0.48159,1.03128,0.78585,0.80649,0.84146,0.68812,0.74617,0.86901,1.12126,0.000486042,0.000486042,0.000486042
49,11908.3,0.45539,0.47078,1.02173,0.86334,0.73986,0.84898,0.69419,0.73108,0.81631,1.12212,0.000477043,0.000477043,0.000477043
50,12151.9,0.45397,0.47427,1.02355,0.90983,0.78935,0.90477,0.73083,0.73983,0.72123,1.10573,0.000468044,0.000468044,0.000468044
51,12396,0.44669,0.46092,1.02033,0.89158,0.80286,0.89365,0.73198,0.74068,0.70198,1.16038,0.000459045,0.000459045,0.000459045
52,12639.7,0.43949,0.45166,1.01326,0.88434,0.84766,0.91732,0.76378,0.69451,0.68071,1.09048,0.000450046,0.000450046,0.000450046
53,12883.9,0.44067,0.45129,1.01242,0.84858,0.78966,0.87667,0.73183,0.68908,0.73808,1.09613,0.000441047,0.000441047,0.000441047
54,13127.2,0.43207,0.43988,1.00327,0.8956,0.75693,0.87641,0.72249,0.73996,0.75451,1.12492,0.000432048,0.000432048,0.000432048
55,13371.5,0.43706,0.4406,1.01537,0.86723,0.80297,0.88109,0.73425,0.6754,0.71292,1.08477,0.000423049,0.000423049,0.000423049
56,13614.5,0.42843,0.45084,1.00214,0.886,0.83148,0.90034,0.7713,0.66488,0.68995,1.04082,0.000414049,0.000414049,0.000414049
57,13858.3,0.43046,0.42676,1.00522,0.93723,0.87299,0.91704,0.7831,0.62887,0.65629,1.04083,0.00040505,0.00040505,0.00040505
58,14101.6,0.42461,0.43875,1.00591,0.94612,0.74165,0.898,0.76571,0.65914,0.71525,1.04095,0.000396051,0.000396051,0.000396051
59,14345.9,0.41892,0.41999,0.99602,0.86821,0.8434,0.90206,0.75375,0.65313,0.68493,1.03027,0.000387052,0.000387052,0.000387052
60,14589.5,0.41031,0.42195,0.99918,0.89834,0.89563,0.93471,0.7991,0.62932,0.57449,1.01897,0.000378053,0.000378053,0.000378053
61,14834.1,0.41259,0.43037,0.99849,0.857,0.85414,0.9063,0.76411,0.66137,0.6524,1.06451,0.000369054,0.000369054,0.000369054
62,15077.6,0.41029,0.41113,0.99783,0.90245,0.87581,0.91852,0.78275,0.64217,0.60541,1.05386,0.000360055,0.000360055,0.000360055
63,15321.6,0.40097,0.40725,0.99246,0.95177,0.9049,0.93903,0.7958,0.62045,0.57546,1.01249,0.000351056,0.000351056,0.000351056
64,15564.3,0.3965,0.41046,0.98168,0.94781,0.87258,0.92791,0.81623,0.60335,0.56204,0.99929,0.000342057,0.000342057,0.000342057
65,15807.4,0.39332,0.40048,0.9825,0.9274,0.86736,0.92551,0.80315,0.60629,0.60257,0.99674,0.000333058,0.000333058,0.000333058
66,16050,0.38755,0.40287,0.97724,0.9577,0.8969,0.93679,0.80633,0.5598,0.53465,0.96293,0.000324058,0.000324058,0.000324058
67,16293.6,0.38621,0.39554,0.98233,0.87254,0.86046,0.92708,0.81253,0.58,0.56626,0.97572,0.000315059,0.000315059,0.000315059
68,16536.9,0.3916,0.39576,0.98175,0.95251,0.91452,0.95041,0.82966,0.5835,0.51033,0.95712,0.00030606,0.00030606,0.00030606
69,16781.7,0.38089,0.39757,0.98432,0.93339,0.89246,0.94452,0.82983,0.56206,0.48856,0.95192,0.000297061,0.000297061,0.000297061
70,17025.5,0.39019,0.41233,0.97946,0.98086,0.85678,0.95008,0.81985,0.58724,0.49255,0.98806,0.000288062,0.000288062,0.000288062
71,17269.4,0.36461,0.36797,0.96545,0.94443,0.8862,0.95274,0.81193,0.58772,0.48564,0.95155,0.000279063,0.000279063,0.000279063
72,17511.7,0.37919,0.38323,0.97515,0.94909,0.88394,0.94554,0.82304,0.54182,0.48578,0.9313,0.000270064,0.000270064,0.000270064
73,17754.3,0.37934,0.37951,0.97709,0.90424,0.90912,0.9441,0.83239,0.54273,0.50855,0.9259,0.000261065,0.000261065,0.000261065
74,17998.6,0.35934,0.36498,0.96892,0.94031,0.90701,0.95177,0.83722,0.57186,0.46177,0.96924,0.000252066,0.000252066,0.000252066
75,18247.3,0.35876,0.36241,0.9672,0.94808,0.91044,0.95139,0.83895,0.54265,0.4581,0.93368,0.000243067,0.000243067,0.000243067
76,18489.6,0.35252,0.35793,0.96545,0.9474,0.91244,0.94197,0.82825,0.54294,0.49673,0.92626,0.000234068,0.000234068,0.000234068
77,18732,0.35502,0.35827,0.9669,0.96012,0.87941,0.9537,0.83251,0.55851,0.47254,0.93513,0.000225068,0.000225068,0.000225068
78,18974.8,0.35299,0.36758,0.9559,0.97996,0.88546,0.94945,0.8591,0.49747,0.44038,0.8939,0.000216069,0.000216069,0.000216069
79,19216.8,0.35734,0.35523,0.95683,0.96839,0.89835,0.93413,0.83554,0.5064,0.48508,0.90708,0.00020707,0.00020707,0.00020707
80,19458.8,0.34598,0.35033,0.95933,0.95297,0.90309,0.94608,0.85147,0.51364,0.46938,0.92257,0.000198071,0.000198071,0.000198071
81,19701.5,0.34929,0.3494,0.96151,0.95516,0.92174,0.9526,0.8521,0.50881,0.43755,0.90384,0.000189072,0.000189072,0.000189072
82,19943.6,0.33546,0.34107,0.94969,0.97455,0.91953,0.95438,0.85164,0.51596,0.43406,0.90389,0.000180073,0.000180073,0.000180073
83,20185.7,0.33418,0.34056,0.95437,0.97212,0.91065,0.95545,0.8536,0.51006,0.40712,0.89637,0.000171074,0.000171074,0.000171074
84,20427.7,0.32485,0.33413,0.94847,0.9729,0.92636,0.95183,0.86256,0.47868,0.41975,0.878,0.000162075,0.000162075,0.000162075
85,20670.7,0.33059,0.33632,0.94833,0.98625,0.91176,0.95742,0.85499,0.49784,0.42016,0.90974,0.000153076,0.000153076,0.000153076
86,20912.9,0.32171,0.33448,0.94467,0.9587,0.92699,0.95913,0.8591,0.47766,0.41541,0.87625,0.000144077,0.000144077,0.000144077
87,21155,0.32402,0.32624,0.9462,0.98566,0.91963,0.95673,0.87612,0.4609,0.41068,0.86552,0.000135077,0.000135077,0.000135077
88,21396.8,0.32505,0.32851,0.94353,0.97871,0.9102,0.95769,0.85598,0.47961,0.42147,0.88823,0.000126078,0.000126078,0.000126078
89,21639.2,0.32262,0.32563,0.94644,0.97076,0.92242,0.95482,0.86713,0.48608,0.42522,0.88289,0.000117079,0.000117079,0.000117079
90,21881.5,0.31985,0.31625,0.94464,0.97724,0.92152,0.95571,0.86341,0.47398,0.41324,0.87177,0.00010808,0.00010808,0.00010808
91,22120.5,0.26297,0.27013,0.90681,0.9664,0.91003,0.94419,0.85285,0.47891,0.43039,0.88318,9.9081e-05,9.9081e-05,9.9081e-05
92,22357.7,0.25661,0.24174,0.90993,0.95326,0.9345,0.95556,0.85753,0.47488,0.38537,0.88699,9.00819e-05,9.00819e-05,9.00819e-05
93,22595.9,0.25415,0.23988,0.90482,0.9688,0.92623,0.95772,0.86732,0.46416,0.38636,0.87392,8.10828e-05,8.10828e-05,8.10828e-05
94,22833.5,0.24019,0.23237,0.89676,0.98209,0.92936,0.95805,0.86633,0.4689,0.3873,0.87649,7.20837e-05,7.20837e-05,7.20837e-05
95,23071.8,0.24006,0.22805,0.89323,0.97574,0.93027,0.96053,0.86983,0.45843,0.37337,0.86702,6.30846e-05,6.30846e-05,6.30846e-05
96,23309.4,0.22867,0.2234,0.89009,0.97501,0.92937,0.96199,0.86752,0.47488,0.38205,0.86781,5.40855e-05,5.40855e-05,5.40855e-05
97,23548.2,0.23999,0.23105,0.90232,0.98368,0.92879,0.96247,0.86836,0.46158,0.37343,0.85937,4.50864e-05,4.50864e-05,4.50864e-05
98,23785.9,0.22973,0.21688,0.88687,0.98837,0.93076,0.96475,0.87293,0.458,0.36942,0.86198,3.60873e-05,3.60873e-05,3.60873e-05
99,24024.9,0.22938,0.21476,0.88287,0.98716,0.93164,0.96452,0.87885,0.44604,0.36834,0.8468,2.70882e-05,2.70882e-05,2.70882e-05
100,24262.8,0.22677,0.22061,0.8833,0.98275,0.93164,0.96581,0.87808,0.44726,0.36821,0.84965,1.80891e-05,1.80891e-05,1.80891e-05
